P_bar,T_C,Z,V_m3_per_kmol,H_J_per_mol,S_J_per_mol_K
1,-100,0.9944818478098884,14.317049989343857,-3668.505101893062,-15.926993984483344
1,-75,0.9962634380056287,16.413547416668337,-2937.8340171084396,-11.985217837812801
1,-50,0.997404804920635,18.50557280091278,-2207.630501875999,-8.514716350898809
1,-25,0.9981689203452428,20.59455953079821,-1476.7729537358568,-5.410392090308099
1,0,0.9986983667011506,22.681393306675552,-744.3172721080916,-2.598185015623734
1,25,0.9990754120122965,24.766650157107847,-9.446190502779631,-0.02398464922285254
1,50,0.999349951716774,26.850720332411626,728.557142424,2.3528986324628334
1,75,0.9995535121278585,28.93387720924654,1470.3238846029492,4.563787274543153
1,100,0.9997067066719163,31.01631771175555,2216.408154820043,6.633264108142504
1,125,0.9998234105167543,33.09818709011145,2967.2923495571195,8.580937363434288
1,150,0.9999131990763969,35.17959468232486,3723.390532763389,10.422662509411465
2,-100,0.9889443918469162,7.118665024371688,-3690.9415819457013,-21.773798070414365
2,-75,0.9925256891149109,8.17598380061046,-2956.1828747197096,-17.80989501699266
2,-50,0.9948141526648796,9.228753277854508,-2222.9077358875657,-14.324756166756357
2,-25,0.9963437582518344,10.27845108389044,-1489.6629646786307,-11.210270687171677
2,0,0.997402487285423,11.325981324022067,-755.3031478303213,-8.390740112506565
2,25,0.9981559218284939,12.371928195279986,-18.88147965659539,-5.811100225944034
2,50,0.9987042483889794,13.416685727665776,720.4061016455997,-3.4300756235435492
2,75,0.9991106637713599,14.460529082864914,1463.2516364153716,-1.215968101593239
2,100,0.9994164394059263,15.503656024355694,2210.253033037017,0.8560550389001148
2,125,0.9996493311476542,16.546212180473542,2961.924981310956,2.8057733010077976
2,150,0.9998284810760554,17.5883070393457,3718.7058732027645,4.649162640958279
5,-100,0.9722129083666399,2.7992910760562117,-3759.1707790914484,-29.648060454713224
5,-75,0.9813060524187237,3.2334245757089293,-3011.6171177134634,-25.61488087355325
5,-50,0.98707039580494,3.662766206675251,-2268.8791678386474,-22.08464299262829
5,-25,0.9909044023542478,4.088935106606245,-1528.3524162344468,-18.939159618992512
5,0,0.9935497191970882,4.51289252134916,-788.2215035799801,-16.097431897754955
5,25,0.9954282069003036,4.935247501920016,-47.120608835174366,-13.501376671972046
5,50,0.996793274151006,5.3564054088317885,696.0308905369778,-11.107891871441021
5,75,0.997803966050652,5.776646689210131,1442.1153731438048,-8.884119936331297
5,100,0.9985637759493546,6.196171561837843,2191.866219311367,-6.804463177454918
5,125,0.9991421228917553,6.615126744429895,2945.8972411581717,-4.848620734673457
5,150,0.9995867894464909,7.033622145405287,3704.721056976262,-3.0002514773680864
10,-100,0.9439090813796884,1.3588979560833634,-3876.147628446763,-35.854689305427684
10,-75,0.9625902780384553,1.5858778480354994,-3105.3276490467706,-31.695476440760853
10,-50,0.9742640445228505,1.8076225534790724,-2345.955193428033,-28.085939969133126
10,-25,0.9819630573125384,2.0260194671131417,-1592.885819657153,-24.887057760772272
10,0,0.9872467498916151,2.2421316156742517,-842.9431546739555,-22.00758834056026
10,25,0.9909855267534382,2.456610537779661,-93.95534987249971,-19.38386338503738
10,50,0.9936958131828639,2.66988038868923,655.6704439403529,-16.969499874752692
10,75,0.9956990083870656,2.8822301654175684,1407.1596836993683,-14.729600814494976
10,100,0.9972030137814796,3.0938639595139756,2161.4850958813363,-12.637242973981078
10,125,0.9983466845770393,3.3049301505997914,2919.4330056823837,-10.671232151624721
10,150,0.9992252970579196,3.515539246735907,3681.643742149261,-8.81460674175349
20,-100,0.8855576530864728,0.6374461844430154,-4124.047954628253,-42.57857433619661
20,-75,0.9251430892498822,0.7620916006414851,-3297.9001419669685,-38.1193295814413
20,-50,0.9490741034674761,0.880442916884481,-2501.7374483118742,-34.33432063319794
20,-25,0.9645757473826976,0.995072689929391,-1722.0322450810247,-31.02200858134584
20,0,0.9750999434244113,1.1072725293013475,-951.7648096848504,-28.064346121677968
20,25,0.9824954674151776,1.2177820227506693,-186.7001243130428,-25.3842131690544
20,50,0.9878315477082852,1.3270620855828925,575.9813817766126,-22.927744295699252
20,75,0.9917625152072378,1.4354176383539692,1338.2889274980575,-20.655563524829915
20,100,0.9947067645885608,1.5430596211172705,2101.723466194508,-18.537913964282776
20,125,0.9969414559424177,1.6501391385512727,2867.4423308688133,-16.55172913523859
20,150,0.9986556374217579,1.7567675166288106,3636.355142404078,-14.678766182299565
30,-100,0.8244981607415646,0.3956627064789371,-4394.59378818787,-47.03132257866883
30,-75,0.8877902576257278,0.4875480029916128,-3497.668307748357,-42.18759210334674
30,-50,0.924547793114372,0.5717934653677775,-2659.483900310044,-38.20201119470397
30,-25,0.9479055152380831,0.6519169305996344,-1851.054468023101,-34.76733062571613
30,0,0.963593436095501,0.7294708939999384,-1059.587304586694,-31.728092373751927
30,25,0.9745447385354884,0.8052848434181901,-278.0996908762315,-28.990330340762284
30,50,0.9824120758216168,0.8798543444417669,497.73740789298967,-26.491430845236987
30,75,0.9881903125899141,0.953498297554083,1270.8456648662518,-24.18701935324693
30,100,0.9925086535428003,1.0264331703322558,2043.31668651473,-22.044279007244608
30,125,0.9957807536389697,1.0988119614589515,2816.7103253183022,-20.03816946829783
30,150,0.998287240357376,1.1707463049375437,3592.2217115941194,-18.14912106376487
