x1,V1bar - V1,V1bar,V2bar - V2,V2bar
0.0,-3.8892599999999993,14.17934,-0.0,40.7221
0.1162,-2.9741434135391067,15.094456586460892,-0.05304269654095433,40.66905730345905
0.2221,-2.383317888033266,15.685282111966732,-0.17268882710178238,40.54941117289822
0.2841,-2.075064175920599,15.993535824079398,-0.277264737532961,40.444835262467045
0.3729,-1.6451699603832262,16.423430039616772,-0.4884088602863017,40.2336911397137
0.4186,-1.4260387511003865,16.64256124889961,-0.6320805321237958,40.09001946787621
0.5266,-0.926046538742559,17.14255346125744,-1.0821956644840993,39.6399043355159
0.6119,-0.5751884365596847,17.493411563440315,-1.5463812320385086,39.17571876796149
0.722,-0.22939861499099623,17.839201385009005,-2.2363201033044615,38.48577989669554
0.8509,-0.02535380964539384,18.043246190354605,-2.9630588660417247,37.75904113395828
0.9489,0.0025974312366666284,18.071197431236666,-3.168925598357806,37.553174401642195
1.0,0.0,18.0686,-3.0347600000000003,37.687340000000006
