main_i,main_j,a_ij,b_ij,c_ij
4,40,29.5689,0.0,0.0
4,41,2303.0,-6.346,0.0
4,42,-107.1,0.2564,0.0
4,43,-26.486,-0.2952,0.0
4,44,-514.79,4.9372,0.0
4,45,297.73,-0.242,0.0
4,46,72.26,-0.1919,0.0
4,47,1696.962,-0.7064,0.0
4,48,76.7251,0.9394,-0.00045
4,52,1000.8407,-2.5194,0.0
4,53,164.0493,0.0,0.0
4,55,558.0843,0.565,-0.00331
5,1,1606.0,-4.746,0.000918
5,2,1566.0,-5.809,0.0052
5,3,3049.0,-12.77,0.0144
5,4,2673.0,-5.765,-0.000332
5,6,346.31,-2.4583,0.00293
5,7,-801.9,3.824,-0.00751
5,8,83.91,-1.262,0.0
5,9,-250.0,2.857,-0.00602
5,10,-281.4,2.379,-0.00667
5,11,973.8,-5.633,0.00769
5,12,235.9,-0.5874,0.0
5,13,816.7,-5.092,0.00607
5,14,-923.7,2.468,0.0
5,15,-355.1,0.58,0.0
5,16,104.6,-5.014,0.00885
5,17,-1114.0,5.916,-0.00713
5,18,1690.39,-14.773,0.0242
5,19,123.5,0.8503,-0.00248
5,20,-1295.0,4.3634,0.0
5,21,238.1,-0.7077,0.0
5,22,-126.0,0.1322,0.0
5,23,1314.8,0.0,0.0
5,24,925.6,-2.027,0.0
5,25,1862.0,32.07,-0.0094
5,26,741.8,-2.098,0.0
5,27,2100.0,0.0,0.0
5,30,738.4,-1.771,0.0
5,31,499.8,-2.41,0.0
5,32,838.8,0.0,0.0
5,33,699.7,-1.767,0.0
5,34,-148.9,1.034,0.0
5,35,190.4,-1.2,0.0
5,36,1117.0,-2.196,0.0
5,37,439.4,0.0,0.0
5,38,848.6,0.0,0.0
5,39,1036.0,-2.995,0.0
5,41,403.8,-0.9346,0.0
5,42,3121.0,-13.69,0.0145
5,43,401.89,-0.4363,-0.002
5,45,-32.643,-0.0104,0.0
5,46,1201.3,-4.6803,0.0
5,47,186.24,-3.1349,0.00774
5,48,1627.81,-5.86,0.0055
5,52,2720.07,-6.1386,0.0233
5,53,495.276,-2.6496,0.00159
6,1,82.593,-0.4857,0.0
6,2,-96.297,0.6304,-0.0018
6,3,13.733,-0.1177,0.0
6,4,145.54,-0.488,0.0
6,5,-1218.2,9.7928,-0.0162
6,7,-328.5,1.0823,-0.0022
6,8,-867.0,-1.258,0.03
6,9,86.439,-0.4651,0.0
6,10,-392.5,2.256,0.0
6,11,299.23,-1.2702,0.0
6,12,220.7,-0.6402,0.0
6,13,-87.48,-0.5522,0.0
6,14,-495.25,1.0807,0.0
6,15,-1508.5,4.4917,0.0
6,16,-1039.0,5.603,-0.00655
6,17,-2012.0,13.46,-0.02
6,18,-341.34,-5.8042,0.0141
6,19,97.973,-0.2867,0.0
6,20,-733.07,2.3351,0.0
6,21,-16.521,-0.2814,0.0
6,22,-85.926,-0.2637,0.0
6,23,-139.58,0.0,0.0
6,24,-40.13,-0.0671,0.0
6,25,3000.0,-11.81,0.0
6,26,374.2,-2.212,0.00269
6,28,-332.4,4.419,-0.0078
6,29,75.71,-0.3753,0.0
6,30,-369.8,2.203,0.0
6,31,33.19,-0.2074,0.0
6,32,180.5,0.3161,0.0
6,33,28.95,-0.3303,0.0
6,35,-185.9,0.0391,0.0
6,36,164.0,0.0,0.0
6,37,-43.88,0.0,0.0
6,38,-99.58,0.0,0.0
6,39,101.2,-1.078,0.0
6,41,308.7,-1.175,0.0
6,42,68.972,-0.42,0.0
6,43,-308.7,1.7454,-0.00335
6,45,-242.6,0.2956,-9.01e-05
6,47,-119.0759,0.9938,0.0
6,48,210.909,-2.4953,0.0048
6,52,673.7189,-2.3567,0.0
6,53,137.95,-1.4112,0.00172
7,1,-17.253,0.8389,0.000902
7,2,-1301.0,4.072,0.0
7,3,332.3,1.158,0.0
7,4,24.144,1.6504,0.0
7,5,1460.0,-8.673,0.0164
7,6,-524.3,4.6065,-0.004
7,8,-2686.0,19.44,-0.027
7,9,190.5,-3.669,0.00884
7,10,-1545.0,6.512,0.0
7,11,-675.5,3.609,0.0
7,12,140.707,0.0,0.0
7,13,-197.5,0.1766,0.0
7,14,798.5,-5.869,0.0103
7,15,1524.0,-2.531,0.0
7,16,274.5,-0.5905,0.00221
7,17,158.4,0.5246,0.0
7,18,-3178.5,9.8213,-0.0034
7,19,-634.1,3.59,0.0
7,20,-1795.2,12.708,-0.0155
7,21,86.69,1.592,0.0
7,22,134.1,0.9495,0.0
7,24,1008.0,-1.795,0.0
7,25,-1895.0,9.303,0.0
7,26,-595.7,2.634,0.0
7,30,-123.8,3.847,0.0
7,31,372.5,-0.9091,0.0
7,33,822.2,0.0,0.0
7,35,117.0,-0.611,0.0
7,36,419.8,2.436,0.0
7,39,-494.2,2.826,0.0
7,41,676.0,-0.9909,0.0
7,42,274.37,-0.5861,-0.0003
7,43,54.962,-2.585,0.00822
7,44,-804.28,2.828,0.0
7,45,509.3,-0.29,0.0
7,46,659.22,-1.8841,0.0
7,47,934.67,-4.4232,0.00605
7,48,64.443,-0.0094,0.0
7,53,499.44,-6.6553,0.0166
8,1,1987.0,-4.615,0.0
8,2,191.6,0.4936,0.0
8,3,2340.0,-5.043,0.0
8,4,1825.0,-3.743,0.0
8,5,465.4,-1.841,0.0
8,6,265.5,-2.905,0.00228
8,7,148.4,-2.757,0.00233
8,9,-145.2,-0.738,0.0
8,10,5.604,0.0,0.0
8,11,-212.9,0.0,0.0
8,13,-329.3,0.0,0.0
8,17,542.0,-6.792,0.0166
8,18,-4080.9,12.859,-0.0101
8,20,401.88,0.0,0.0
8,24,2356.0,-3.347,0.0
8,25,555.5,0.0,0.0
8,31,-309.0,0.0,0.0
8,42,391.2,-0.8799,0.0
8,52,4911.3999,9.8501,0.0
9,1,199.0,-0.8709,0.0
9,2,91.811,-0.7171,0.0
9,3,-57.53,1.212,-0.00372
9,4,-146.6,0.2419,0.000113
9,5,653.3,-1.412,0.000954
9,6,394.78,-0.3605,0.0
9,7,770.6,-0.5873,-0.00325
9,8,-666.8,1.918,0.0
9,10,197.6,0.0,0.0
9,11,-16.486,-0.2792,0.0
9,12,-83.57,0.0,0.0
9,13,3645.0,-26.91,0.0476
9,15,-47.97,0.0,0.0
9,16,-389.6,0.1944,0.00186
9,17,1732.0,-9.896,0.0141
9,18,-1908.7,4.1057,0.0
9,19,-191.0,0.6835,0.0
9,20,-109.51,0.9689,0.0
9,21,-99.976,0.0,0.0
9,22,-18.695,-0.5261,0.0
9,23,810.17,-3.2209,0.00214
9,24,-208.71,0.8293,-0.0014
9,25,1297.0,-1.365,-0.0225
9,26,-35.89,-0.1009,0.0
9,27,-169.6,2.986,0.0
9,28,419.9,0.0977,0.0
9,29,2.714,0.0,0.0
9,30,-986.0,3.847,0.0
9,31,478.5,-1.148,0.0
9,32,346.6,-0.7017,0.0
9,33,-717.76,2.9431,0.0
9,34,-62.43,-0.8977,0.0
9,35,-76.87,0.5372,0.0
9,37,64.01,-1.077,0.0
9,39,80.792,-3.702,0.0116
9,41,64.21,0.0,0.0
9,42,168.2,-0.8197,0.0
9,43,-62.857,0.2898,0.0
9,45,-497.98,0.7972,0.000298
9,47,502.1003,0.3401,0.0
9,48,37.369,0.0,0.0
9,52,-153.7,0.242,0.0
10,1,256.21,0.0,0.0
10,2,202.49,0.0,0.0
10,3,1011.0,-2.167,0.0
10,4,1963.0,2.656,-0.0136
10,5,1590.0,-24.57,0.0621
10,6,-158.4,-0.6469,0.0
10,7,512.6,-2.145,0.0
10,8,-410.21,0.0,0.0
10,9,-93.08,0.0,0.0
10,11,-208.4,0.0,0.0
10,12,-160.7,0.0,0.0
10,13,209.0,-0.6241,0.0
10,20,435.64,0.0,0.0
10,21,985.7,-2.986,0.0
10,22,-41.537,0.0,0.0
10,29,-373.7,0.0,0.0
10,30,-742.7,0.0,0.0
10,32,114.3,0.0,0.0
10,34,236.6,0.0,0.0
10,37,-43.56,0.0,0.0
10,39,2371.0,0.0,0.0
10,42,716.7,-1.516,0.0
11,1,632.22,-3.3912,0.00393
11,2,-582.82,1.6732,0.0
11,3,622.73,-1.7605,0.0
11,4,1624.0,-9.409,0.0134
11,5,310.4,1.538,-0.00489
11,6,294.76,0.3745,0.0
11,7,322.3,-1.305,0.0
11,8,-224.4,0.0,0.0
11,9,33.415,0.2191,0.0
11,10,389.7,0.0,0.0
11,12,342.4,0.0,0.0
11,13,195.3,-9.75,0.0405
11,15,3168.0,-24.07,0.043
11,16,152.8,-1.099,0.0
11,17,-1355.0,7.683,-0.0101
11,18,87.6005,1.4109,0.0
11,19,-193.23,0.4301,0.0
11,20,62.031,1.0567,0.0
11,21,-49.339,0.0,0.0
11,22,168.17,-1.0536,0.0
11,24,-5.71,-0.2724,0.0
11,25,3351.0,-14.54,0.0
11,26,9.222,-0.3292,0.0
11,28,861.1,-1.693,0.0
11,30,80.69,0.0,0.0
11,31,-72.07,0.0,0.0
11,32,82.96,0.0,0.0
11,33,-386.3,1.892,0.0
11,35,296.8,-1.264,0.0
11,36,-92.12,0.9031,0.0
11,37,-201.4,0.5487,0.0
11,39,96.7704,0.4827,0.0
11,41,-338.8,1.837,0.0
11,42,374.1,-1.976,0.00168
11,43,-28.231,0.0,0.0
11,44,745.4,0.0,0.0
11,45,-579.11,0.9455,0.0
11,47,758.1276,-0.2593,0.0
11,48,611.4677,-2.4783,0.0
12,1,238.5,-0.5358,0.0
12,2,-28.63,0.0,0.0
12,3,108.3,-0.262,0.0
12,4,732.0,0.0,0.0
12,5,839.6,-1.215,0.0
12,6,444.7,-0.0682,0.0
12,7,53.2836,0.0,0.0
12,9,101.3,0.0,0.0
12,10,226.6,0.0,0.0
