subgroup_no,main_group_no,subgroup_name,main_group_name,R,Q,example,source
57,27,ACNO2,ACNO2,1.4199,1.104,"Nitrobenzene: 1 ACNO2, 5 ACH",SIS-CET 2e Table 7.5-2
58,28,CS2,CS2,2.057,1.65,Carbon disulfide,SIS-CET 2e Table 7.5-2
59,29,CH3SH,CH3SH,1.877,1.676,Methanethiol,SIS-CET 2e Table 7.5-2
60,29,CH2SH,CH3SH,1.651,1.368,"Ethanethiol: 1 CH2SH, 1 CH3",SIS-CET 2e Table 7.5-2
61,30,Furfural,Furfural,3.168,2.481,Furfural,SIS-CET 2e Table 7.5-2
62,31,(CH2OH)2,DOH,2.4088,2.248,Ethylene glycol,SIS-CET 2e Table 7.5-2
63,32,I,I,1.264,0.992,"Iodomethane: 1 I, 1 CH3",SIS-CET 2e Table 7.5-2
64,33,Br,Br,0.9492,0.832,"Bromomethane: 1 Br, 1 CH3",SIS-CET 2e Table 7.5-2
65,34,CH≡C,C≡C,1.292,1.088,"1-Hexyne: 1 CH≡C, 1 CH3, 3 CH2",SIS-CET 2e Table 7.5-2
66,34,C≡C,C≡C,1.0613,0.784,"2-Hexyne: 1 C≡C, 2 CH3, 2 CH2",SIS-CET 2e Table 7.5-2
67,35,Me2SO,Me2SO,2.8266,2.472,Dimethyl sulfoxide,SIS-CET 2e Table 7.5-2
68,36,ACRY,ACRY,2.3144,2.052,Acrylonitrile,SIS-CET 2e Table 7.5-2
69,37,Cl(C=C),ClCC,0.791,0.724,"Trichloroethylene: 3 Cl(C=C), 1 CH=C",SIS-CET 2e Table 7.5-2
70,2,C=C,C=C,0.6605,0.485,,SIS-CET 2e Table 7.5-2
71,38,ACF,ACF,0.6948,0.524,Hexafluorobenzene: 6 ACF,SIS-CET 2e Table 7.5-2
72,39,DMF-1,DMF,3.0856,2.736,Dimethylformamide,SIS-CET 2e Table 7.5-2
73,39,DMF-2,DMF,2.6322,2.12,"Diethylformamide: 1 DMF-2, 2 CH3",SIS-CET 2e Table 7.5-2
74,40,CF3,CF2,1.406,1.38,,SIS-CET 2e Table 7.5-2
75,40,CF2,CF2,1.0105,0.92,"Perfluorohexane: 4 CF2, 2 CF3",SIS-CET 2e Table 7.5-2
76,40,CF,CF2,0.615,0.46,,SIS-CET 2e Table 7.5-2
77,41,COO,COO,1.38,1.2,"Butyl acetate: 1 COO, 2 CH3, 3 CH2",SIS-CET 2e Table 7.5-2
78,42,SiH3,SiH2,1.6035,1.2632,"Methylsilane: 1 SiH3, 1 CH3",SIS-CET 2e Table 7.5-2
79,42,SiH2,SiH2,1.4443,1.0063,,SIS-CET 2e Table 7.5-2
80,42,SiH,SiH2,1.2853,0.7494,,SIS-CET 2e Table 7.5-2
81,42,Si,SiH2,1.047,0.4099,"Hexamethyldisiloxane: 1 Si, 1 SiO, 6 CH3",SIS-CET 2e Table 7.5-2
82,43,SiH2O,SiO,1.4838,1.0621,,SIS-CET 2e Table 7.5-2
83,43,SiHO,SiO,1.303,0.7639,,SIS-CET 2e Table 7.5-2
84,43,SiO,SiO,1.1044,0.4657,,SIS-CET 2e Table 7.5-2
85,44,NMP,NMP,3.981,3.2,N-methylpyrrolidone,SIS-CET 2e Table 7.5-2
