P_MPa,Tsat_C,T_C,sat,V,U,H,S
50.0,,700.0,False,0.007727,3230.5,3616.8,6.2189
60.0,,700.0,False,0.006272,3177.2,3553.5,6.0824
40.0,,800.0,False,0.011523,3517.8,3978.7,6.6662
50.0,,800.0,False,0.009076,3479.8,3933.6,6.529
60.0,,800.0,False,0.007459,3441.5,3889.1,6.4109
40.0,,900.0,False,0.012962,3739.4,4257.9,6.915
50.0,,900.0,False,0.010283,3710.3,4224.4,6.7882
60.0,,900.0,False,0.008508,3681.0,4191.5,6.6805
40.0,,1000.0,False,0.014324,3954.6,4527.6,7.1356
50.0,,1000.0,False,0.011411,3930.5,4501.1,7.0146
60.0,,1000.0,False,0.00948,3906.4,4475.2,6.9127
40.0,,1100.0,False,0.015642,4167.4,4793.1,7.3364
50.0,,1100.0,False,0.012496,4145.7,4770.5,7.2184
60.0,,1100.0,False,0.010409,4124.1,4748.6,7.1195
40.0,,1200.0,False,0.01694,4380.1,5057.7,7.5224
50.0,,1200.0,False,0.013561,4359.1,5037.2,7.4058
60.0,,1200.0,False,0.011317,4338.2,5017.2,7.3083
40.0,,1300.0,False,0.018229,4594.3,5323.5,7.6969
50.0,,1300.0,False,0.014616,4572.8,5303.6,7.5808
60.0,,1300.0,False,0.012215,4551.4,5284.3,7.4837
