subgroup_no,main_group_no,subgroup_name,main_group_name,R,Q,example
69,37,Cl(C=C),Cl(C=C),0.5229,0.7391,"Trichloroethylene: 3 Cl(C=C), 1 CH=C"
70,2,C=C,C=C,1.2832,0.4582,"12,3-Dimethyl-2-butene: 1 C=C, 4 CH3"
71,38,ACF,ACF,0.8814,0.7269,Hexafluorobenzene: 6 ACF
72,39,DMF,DMF,2,2.093,"N, N -Dimethylformamide"
73,39,HCON(CH2 )2,DMF,2.381,1.522,"N, N -Diethylformamide: 1 HCON(CH2 )2 , 2 CH3"
74,40,CF3,CF2,1.284,1.266,"1,1,1-Trifluoroethane: 1 CF3 , 1 CH3"
75,40,CF2,CF2,1.284,1.098,"Perfluorohexane: 4 CF2 , 2 CF3"
76,40,CF,CF2,0.8215,0.5135,"Perfluoromethylcyclohexane: 1 CF, 5 CF2 , 1 CF3"
77,41,COO,COO,1.6,0.9,"Methyl acrylate: 1 COO, 1 CH3 , 1 CH2 =CH"
78,42,cy-CH2,cy-CH2,0.7136,0.8635,Cyclohexane: 6 cy-CH2
79,42,cy-CH,cy-CH2,0.3479,0.1071,"Methylcyclohexane: 1 cy-CH, 5 cy-CH2 , 1 CH3"
80,42,cy-C,cy-CH2,0.347,0,"1,1-Dimethylcyclohexane: 1 cy-C, 5 cy-CH2 , 2 CH3"
81,5,OH(s),OH,1.063,0.8663,"2-Propanol: 1 OH(s), 2 CH3 , 1 CH"
82,5,OH(t),OH,0.6895,0.8345,"tert-Butanol: 1 OH(t), 3 CH3 , 1 C"
83,43,cy-CH2 O(CH2 )1/2,cy-CH2 O,1.4046,1.4,"1,3-Dioxane: 2 cy-CH2 O(CH2 )1/2 , 1 cy-CH2"
84,43,cy-(CH2 )1/2 O(CH2 )1/2,cy-CH2 O,1.0413,1.0116,"1,3,5-Trioxane: 3 cy-(CH2 )1/2 O(CH2 )1/2"
85,14,CNH2,CNH2,1.6607,0.985,"tert-Butylamine: 1 CNH2 , 3 CH3"
86,46,cy-CON-CH3,cy-CON-C,3.9819,3.2,"N -Methylpyrrolidone: 1 cy-CON-CH3 , 3 cy-CH2"
87,46,cy-CON-CH2,cy-CON-C,3.7543,2.892,"N -Ethylpyrrolidone: 1 cy-CON-CH2 , 3 cy-CH2 , 1 CH3"
88,46,cy-CON-CH,cy-CON-C,3.5268,2.58,"N -Isopropylpyrrolidone: 1 cy-CON-CH, 3 cy-CH2 , 2 CH3"
89,46,cy-CON-C,cy-CON-C,3.2994,2.352,"N -tert-Butylpyrrolidone: 1 cy-CON-C, 3 cy-CH2 , 3 CH3"
104,47,AC2 H2 S,ACS,1.7943,1.34,"Thiophene: 1 AC2 H2 S, 2 ACH"
105,47,AC2 HS,ACS,1.6282,1.06,"2-Methylthiophene: 1 AC2 HS, 2 ACH, 1 CH3"
106,47,AC2 S,ACS,1.4621,0.78,"2,5-Dimethylthiophene: 1 AC2 S, 2 ACH, 2 CH3"
